"","Prot","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"337","APMAP",-0.855316126440359,17.8976312985996,-10.3826679197806,6.05185401514962e-12,1.35907350168789e-10,16.7710472447324
"248","EIF3A",0.616604815792659,18.0675298018346,10.3255513128567,6.96632229704441e-12,1.54967811098403e-10,16.6440758401176
"1235","ALDH4A1",1.08107220028356,17.9312613214233,10.2820522999341,7.75659511595165e-12,1.67798635627651e-10,16.5091969047927
"1236","PRRC1",1.08107220028356,17.9312613214233,10.2820522999341,7.75659511595165e-12,1.67798635627651e-10,16.5091969047927
"1237","GIPC1",1.08107220028356,17.9312613214233,10.2820522999341,7.75659511595165e-12,1.67798635627651e-10,16.5091969047927
"1656","PIN1",1.8475566309329,15.4368310591967,10.2643191640655,8.10450706985033e-12,1.73731160642792e-10,16.5062837770179
"383","PPIA",-0.631188993733082,21.0128540378073,-10.1654302255341,1.03589419788588e-11,2.18747889418816e-10,16.2366164643481
"333","LTA4H",0.947101665432907,17.2474170387923,10.1642248028175,1.03900609053891e-11,2.18747889418816e-10,16.2304346779407
"705","ARL6IP5",-1.05259061160833,18.0982604913385,-10.159454768634,1.05141421894234e-11,2.19401303386375e-10,16.1998291887514
"976","H2AC6",0.810775776840728,19.1220674466825,10.1416072731191,1.09919808783142e-11,2.27360446588289e-10,16.1712973472767
"959","SDCBP",1.56291178682394,17.466038390744,10.1350277488401,1.11736815067597e-11,2.29109052112517e-10,16.1414168114942
"1663","RPL24",1.43511169462005,14.4985087627917,10.1072061287565,1.19765515684393e-11,2.4299265661014e-10,16.0868311046896
"868","H2AC20",3.16887195314354,17.0722230482604,10.1011186910284,1.2159937862594e-11,2.4299265661014e-10,16.0565039959946
"869","H2AC18",3.16887195314354,17.0722230482604,10.1011186910284,1.2159937862594e-11,2.4299265661014e-10,16.0565039959946
"527","RTCB",-1.06458189260218,17.8350642149503,-10.0954451502699,1.23334363063705e-11,2.44388595045559e-10,16.043684174675
"498","SQOR",2.67211125833121,15.9611420414909,10.0589750166609,1.35107086176731e-11,2.65485424337276e-10,15.9859778368625
"1629","ETHE1",1.23328719198237,14.5677532063603,10.0523160758954,1.37377494147395e-11,2.67715810908724e-10,15.9759523253759
"604","CKB",-2.183738744124,16.8133355102587,-9.94399129295324,1.80303806268809e-11,3.45655589578742e-10,15.6736136370986
"898","RPL10",-1.7891335136703,16.4929280674811,-9.94848856440143,1.78274398235611e-11,3.44566418884895e-10,15.6701324350505
"2250","RFTN1",-2.08363916467744,12.958023851266,-9.92082339097204,1.91138277507593e-11,3.63471014808794e-10,15.6367738076794
"629","RPS14",-0.866068037618129,17.7817248267567,-9.87573173161803,2.14170538525968e-11,3.95899996796867e-10,15.5462711106224
"440","PSMC5",-0.775203324963852,17.3009372698998,-9.89336129981926,2.0484588620599e-11,3.8642127973898e-10,15.5323542896171
"423","COPE",-1.06230517233812,17.5564915025528,-9.88643504018451,2.0845889711204e-11,3.9011593602396e-10,15.5277613452522
"607","RPS2",0.63161687503033,18.6288888869807,9.87399883872662,2.15110179493008e-11,3.95899996796867e-10,15.4975570194137
"1797","TBL2",-2.20185249180059,14.6077276093659,-9.87129171730321,2.16586512242561e-11,3.95899996796867e-10,15.4971786699961
"802","TGFB1I1",-2.13501561339666,16.1026882236746,-9.86331506666032,2.20996998679451e-11,4.00854556066266e-10,15.4482376553054
"111","XRCC5",-0.767533162342436,18.2628295049784,-9.81489061584388,2.49812098873966e-11,4.49661777973138e-10,15.3572546410658
